cab_type,distance,fare,,,
OlaAuto,4.03891275,99,,,
Mini,4.03891275,183,,,
Sedan,4.03891275,226,,,
SUV,4.03891275,306,,,
OlaAuto,1.988387815,45,,,
Mini,1.988387815,109,,,
Sedan,1.988387815,136,,,
SUV,1.988387815,195,,,
OlaAuto,1.304879504,36,,,
Mini,1.304879504,108,,,
Sedan,1.304879504,136,,,
SUV,1.304879504,182,,,
OlaAuto,3.2311302,80,,,
Mini,3.2311302,170,,,
Sedan,3.2311302,210,,,
SUV,3.2311302,285,,,
OlaAuto,11.61964129,267,,,
Mini,11.61964129,276,,,
Sedan,11.61964129,357,,,
SUV,11.61964129,500,,,
OlaAuto,9.817664837,206,,,
Mini,9.817664837,231,,,
Sedan,9.817664837,300,,,
SUV,9.817664837,432,,,
OlaAuto,3.603952915,87,,,
Mini,3.603952915,176,,,
Sedan,3.603952915,217,,,
SUV,3.603952915,294,,,
OlaAuto,6.586534638,153,,,
Mini,6.586534638,229,,,
Sedan,6.586534638,285,,,
SUV,6.586534638,387,,,
OlaAuto,3.728227153,92,,,
Mini,3.728227153,179,,,
Sedan,3.728227153,221,,,
SUV,3.728227153,301,,,
OlaAuto,1.864113577,50,,,
Mini,1.864113577,98,,,
Sedan,1.864113577,130,,,
SUV,1.864113577,197,,,
OlaAuto,2.050524934,53,,,
Mini,2.050524934,108,,,
Sedan,2.050524934,139,,,
SUV,2.050524934,203,,,
OlaAuto,2.547621888,66,,,
Mini,2.547621888,115,,,
Sedan,2.547621888,151,,,
SUV,2.547621888,218,,,
OlaAuto,23.42569395,533,,,
Mini,23.42569395,475,,,
Sedan,23.42569395,613,,,
SUV,23.42569395,849,,,
OlaAuto,15.53427981,345,,,
Mini,15.53427981,330,,,
Sedan,15.53427981,427,,,
SUV,15.53427981,594,,,
OlaAuto,14.16726318,397,,,
Mini,14.16726318,485,,,
Sedan,14.16726318,384,,,
SUV,14.16726318,654,,,
OlaAuto,5.59234073,160,,,
Mini,5.59234073,207,,,
Sedan,5.59234073,258,,,
SUV,5.59234073,349,,,
OlaAuto,18.01976457,444,,,
Mini,18.01976457,379,,,
Sedan,18.01976457,490,,,
SUV,18.01976457,677,,,
OlaAuto,5.157380896,155,,,
Mini,5.157380896,166,,,
Sedan,5.157380896,217,,,
SUV,5.157380896,308,,,
OlaAuto,23.36355683,555,,,
Mini,23.36355683,890,,,
Sedan,23.36355683,1137,,,
SUV,23.36355683,1557,,,
OlaAuto,7.891414141,206,,,
Mini,7.891414141,437,,,
Sedan,7.891414141,551,,,
SUV,7.891414141,775,,,
OlaAuto,9.258430764,237,,,
Mini,9.258430764,523,,,
Sedan,9.258430764,661,,,
SUV,9.258430764,928,,,
OlaAuto,8.761333811,227,,,
Mini,8.761333811,286,,,
Sedan,8.761333811,370,,,
SUV,8.761333811,524,,,
OlaAuto,10.0040762,257,,,
Sedan,10.0040762,710,,,
Mini,10.0040762,549,,,
SUV,10.0040762,1001,,,
OlaAuto,6.586534638,163,,,
Sedan,6.586534638,306,,,
Mini,6.586534638,246,,,
SUV,6.586534638,421,,,
OlaAuto,11.55750418,302,,,
Sedan,11.55750418,629,,,
Mini,11.55750418,485,,,
SUV,11.55750418,880,,,
OlaAuto,17.27411914,420,,,
Sedan,17.27411914,661,,,
Mini,17.27411914,510,,,
SUV,17.27411914,914,,,
OlaAuto,12.9245208,316,,,
Sedan,12.9245208,529,,,
Mini,12.9245208,421,,,
SUV,12.9245208,735,,,
OlaAuto,8.326373976,227,,,
Sedan,8.326373976,423,,,
Mini,8.326373976,337,,,
SUV,8.326373976,587,,,
OlaAuto,3.541815796,125,,,
Sedan,3.541815796,180,,,
Mini,3.541815796,138,,,
SUV,3.541815796,261,,,
OlaAuto,5.59234073,170,,,
Sedan,5.59234073,329,,,
Mini,5.59234073,264,,,
SUV,5.59234073,256,,,
Mini,4.970969538,202,,,
Sedan,4.970969538,225,,,
OlaAuto,4.970969538,121,,,
Mini,5.654477849,223,,,
Sedan,5.654477849,250,,,
OlaAuto,5.654477849,135,,,
Mini,1.242742384,105,,,
Sedan,1.242742384,112,,,
OlaAuto,1.242742384,37,,,
Mini,1.6155651,111,,,
Sedan,1.6155651,119,,,
OlaAuto,1.6155651,46,,,
Mini,4.101049869,188,,,
Sedan,4.101049869,209,,,
OlaAuto,4.101049869,99,,,
Mini,4.411735465,208,,,
Sedan,4.411735465,233,,,
OlaAuto,4.411735465,128,,,
Mini,3.666090034,168,,,
Sedan,3.666090034,186,,,
OlaAuto,3.666090034,92,,,
Mini,8.077825499,492,,,
Sedan,8.077825499,545,,,
OlaAuto,8.077825499,246,,,
Mini,7.456454307,265,,,
Sedan,7.456454307,300,,,
OlaAuto,7.456454307,176,,,
Mini,4.03891275,185,,,
Sedan,4.03891275,206,,,
OlaAuto,4.03891275,103,,,
Mini,0.683508311,89,,,
Sedan,0.683508311,92,,,
OlaAuto,0.683508311,25,,,
Mini,4.287461226,185,,,
Sedan,4.287461226,206,,,
OlaAuto,4.287461226,103,,,
Mini,6.151574803,296,,,
Sedan,6.151574803,336,,,
OlaAuto,6.151574803,215,,,
Mini,3.790364273,168,,,
Sedan,3.790364273,186,,,
OlaAuto,3.790364273,93,,,
Mini,4.287461226,181,,,
Sedan,4.287461226,201,,,
OlaAuto,4.287461226,104,,,
Mini,2.920444604,145,,,
Sedan,2.920444604,159,,,
OlaAuto,2.920444604,72,,,
Mini,4.03891275,173,,,
Sedan,4.03891275,192,,,
OlaAuto,4.03891275,97,,,
Mini,8.077825499,277,,,
Sedan,8.077825499,314,,,
OlaAuto,8.077825499,186,,,
Mini,2.796170365,147,,,
Sedan,2.796170365,161,,,
OlaAuto,2.796170365,72,,,
Mini,5.654477849,240,,,
Sedan,5.654477849,270,,,
OlaAuto,5.654477849,166,,,
Mini,4.287461226,183,,,
Sedan,4.287461226,204,,,
OlaAuto,4.287461226,103,,,
Mini,4.163186988,181,,,
Sedan,4.163186988,201,,,
OlaAuto,4.163186988,100,,,
Mini,1.242742384,102,,,
Sedan,1.242742384,108,,,
OlaAuto,1.242742384,34,,,
Mini,1.6155651,111,,,
Sedan,1.6155651,119,,,
OlaAuto,1.6155651,42,,,
Mini,3.603952915,163,,,
Sedan,3.603952915,180,,,
OlaAuto,3.603952915,90,,,
Mini,2.734033246,139,,,
Sedan,2.734033246,152,,,
OlaAuto,2.734033246,67,,,
Mini,3.2311302,154,,,
Sedan,3.2311302,170,,,
OlaAuto,3.2311302,80,,,
Mini,3.417541557,116,,,
Sedan,3.417541557,125,,,
OlaAuto,3.417541557,48,,,
Mini,1.242742384,112,,,
Sedan,1.242742384,121,,,
OlaAuto,1.242742384,44,,,
Mini,1.367016623,106,,,
Sedan,1.367016623,113,,,
OlaAuto,1.367016623,38,,,
Mini,7.456454307,375,,,
Sedan,7.456454307,402,,,
OlaAuto,7.456454307,178,,,
Mini,1.429153742,112,,,
Sedan,1.429153742,121,,,
OlaAuto,1.429153742,44,,,
Mini,4.722421061,189,,,
Sedan,4.722421061,210,,,
OlaAuto,4.722421061,112,,,
Mini,2.734033246,138,,,
Sedan,2.734033246,150,,,
OlaAuto,2.734033246,67,,,
Mini,1.864113577,116,,,
Sedan,1.864113577,125,,,
OlaAuto,1.864113577,48,,,
Mini,4.225324107,156,,,
Sedan,4.225324107,172,,,
OlaAuto,4.225324107,86,,,
Mini,6.213711922,188,,,
Sedan,6.213711922,210,,,
OlaAuto,6.213711922,114,,,
Mini,5.219518015,156,,,
Sedan,5.219518015,172,,,
OlaAuto,5.219518015,86,,,
Mini,1.6155651,115,,,
Sedan,1.6155651,124,,,
OlaAuto,1.6155651,46,,,
Mini,1.242742384,103,,,
Sedan,1.242742384,110,,,
OlaAuto,1.242742384,35,,,
Mini,2.485484769,127,,,
Sedan,2.485484769,138,,,
OlaAuto,2.485484769,56,,,
Mini,1.864113577,116,,,
Sedan,1.864113577,125,,,
OlaAuto,1.864113577,48,,,
Mini,3.16899308,154,,,
Sedan,3.16899308,170,,,
OlaAuto,3.16899308,79,,,
Mini,6.213711922,234,,,
Sedan,6.213711922,264,,,
OlaAuto,6.213711922,151,,,
Mini,2.920444604,146,,,
Sedan,2.920444604,160,,,
OlaAuto,2.920444604,73,,,
Mini,1.491290861,100,,,
Sedan,1.491290861,106,,,
OlaAuto,1.491290861,34,,,
Mini,1.988387815,114,,,
Sedan,1.988387815,122,,,
OlaAuto,1.988387815,45,,,
Mini,2.982581723,149,,,
Sedan,2.982581723,164,,,
OlaAuto,2.982581723,74,,,
Mini,2.174799173,127,,,
Sedan,2.174799173,138,,,
OlaAuto,2.174799173,56,,,
Mini,1.056331027,96,,,
Sedan,1.056331027,102,,,
OlaAuto,1.056331027,30,,,
Mini,2.982581723,146,,,
Sedan,2.982581723,160,,,
OlaAuto,2.982581723,73,,,
Mini,4.536009703,190,,,
Sedan,4.536009703,212,,,
OlaAuto,4.536009703,112,,,
Mini,0.80778255,93,,,
Sedan,0.80778255,102,,,
OlaAuto,0.80778255,32,,,
Mini,1.304879504,115,,,
Sedan,1.304879504,124,,,
OlaAuto,1.304879504,46,,,
Mini,3.106855961,168,,,
Sedan,3.106855961,186,,,
OlaAuto,3.106855961,91,,,
Mini,2.858307484,142,,,
Sedan,2.858307484,156,,,
OlaAuto,2.858307484,67,,,
Mini,1.801976457,132,,,
Sedan,1.801976457,144,,,
OlaAuto,1.801976457,58,,,
Mini,4.163186988,180,,,
Sedan,4.163186988,200,,,
OlaAuto,4.163186988,108,,,
Mini,3.914638511,197,,,
Sedan,3.914638511,220,,,
OlaAuto,3.914638511,123,,,
Mini,4.03891275,182,,,
Sedan,4.03891275,203,,,
OlaAuto,4.03891275,111,,,
Mini,1.553427981,113,,,
Sedan,1.553427981,121,,,
OlaAuto,1.553427981,42,,,
Mini,1.491290861,121,,,
Sedan,1.491290861,131,,,
OlaAuto,1.491290861,46,,,
Mini,2.299073411,136,,,
Sedan,2.299073411,148,,,
OlaAuto,2.299073411,62,,,
Mini,1.864113577,123,,,
Sedan,1.864113577,133,,,
OlaAuto,1.864113577,53,,,
Mini,1.864113577,123,,,
Sedan,1.864113577,133,,,
OlaAuto,1.864113577,53,,,
Mini,1.864113577,133,,,
Sedan,1.864113577,145,,,
OlaAuto,1.864113577,60,,,
Mini,3.666090034,158,,,
Sedan,3.666090034,175,,,
OlaAuto,3.666090034,88,,,
Mini,2.299073411,164,,,
Sedan,2.299073411,181,,,
OlaAuto,2.299073411,93,,,
Mini,3.852501392,164,,,
Sedan,3.852501392,181,,,
OlaAuto,3.852501392,93,,,
Mini,1.553427981,124,,,
Sedan,1.553427981,134,,,
OlaAuto,1.553427981,51,,,
Mini,3.728227153,141,,,
Sedan,3.728227153,155,,,
OlaAuto,3.728227153,65,,,
Mini,4.163186988,161,,,
Sedan,4.163186988,178,,,
OlaAuto,4.163186988,83,,,
Mini,3.479678677,154,,,
Sedan,3.479678677,170,,,
OlaAuto,3.479678677,73,,,
Mini,1.491290861,103,,,
Sedan,1.491290861,110,,,
OlaAuto,1.491290861,30,,,
Mini,1.988387815,76,,,
Sedan,1.988387815,78,,,
OlaAuto,1.988387815,20,,,
Mini,1.739839338,115,,,
Sedan,1.739839338,124,,,
OlaAuto,1.739839338,45,,,
Mini,2.236936292,126,,,
Sedan,2.236936292,137,,,
OlaAuto,2.236936292,55,,,
Mini,0.80778255,89,,,
Sedan,0.80778255,94,,,
OlaAuto,0.80778255,24,,,
Mini,0.279617037,76,,,
Sedan,0.279617037,78,,,
OlaAuto,0.279617037,20,,,
Mini,1.988387815,141,,,
Sedan,1.988387815,155,,,
OlaAuto,1.988387815,66,,,
Mini,4.349598346,172,,,
Sedan,4.349598346,191,,,
OlaAuto,4.349598346,91,,,
Mini,4.536009703,180,,,
Sedan,4.536009703,200,,,
OlaAuto,4.536009703,100,,,
Mini,4.660283942,176,,,
Sedan,4.660283942,195,,,
OlaAuto,4.660283942,115,,,
Mini,1.801976457,125,,,
Sedan,1.801976457,136,,,
OlaAuto,1.801976457,52,,,
Mini,5.530203611,221,,,
Sedan,5.530203611,249,,,
OlaAuto,5.530203611,132,,,
Mini,5.219518015,212,,,
Sedan,5.219518015,238,,,
OlaAuto,5.219518015,123,,,
Mini,3.293267319,139,,,
Sedan,3.293267319,152,,,
OlaAuto,3.293267319,67,,,
Mini,5.59234073,202,,,
Sedan,5.59234073,226,,,
OlaAuto,5.59234073,122,,,
Mini,4.411735465,169,,,
Sedan,4.411735465,187,,,
OlaAuto,4.411735465,93,,,
Mini,4.78455818,193,,,
Sedan,4.78455818,215,,,
OlaAuto,4.78455818,114,,,
Mini,1.491290861,109,,,
Sedan,1.491290861,117,,,
OlaAuto,1.491290861,42,,,
Mini,0.745645431,97,,,
Sedan,0.745645431,103,,,
OlaAuto,0.745645431,31,,,
Mini,1.677702219,109,,,
Sedan,1.677702219,117,,,
OlaAuto,1.677702219,44,,,
Mini,1.739839338,118,,,
Sedan,1.739839338,127,,,
OlaAuto,1.739839338,48,,,
Mini,0.994193908,102,,,
Sedan,0.994193908,109,,,
OlaAuto,0.994193908,31,,,
Mini,0.217479917,79,,,
Sedan,0.217479917,81,,,
OlaAuto,0.217479917,20,,,
Mini,3.852501392,169,,,
Sedan,3.852501392,187,,,
OlaAuto,3.852501392,91,,,
Mini,0.497096954,70,,,
Sedan,0.497096954,71,,,
OlaAuto,0.497096954,20,,,
Mini,5.033106657,199,,,
Sedan,5.033106657,222,,,
OlaAuto,5.033106657,118,,,
Mini,2.734033246,138,,,
Sedan,2.734033246,151,,,
OlaAuto,2.734033246,66,,,
Mini,4.163186988,179,,,
Sedan,4.163186988,198,,,
OlaAuto,4.163186988,100,,,
Mini,4.03891275,247,,,
Sedan,4.03891275,269,,,
OlaAuto,4.03891275,79,,,
Mini,8.077825499,286,,,
Sedan,8.077825499,325,,,
OlaAuto,8.077825499,185,,,
Mini,1.6155651,108,,,
Sedan,1.6155651,116,,,
OlaAuto,1.6155651,39,,,
Mini,1.304879504,103,,,
Sedan,1.304879504,110,,,
OlaAuto,1.304879504,34,,,
Mini,5.840889207,249,,,
Sedan,5.840889207,281,,,
OlaAuto,5.840889207,153,,,
Mini,3.666090034,162,,,
Sedan,3.666090034,179,,,
OlaAuto,3.666090034,88,,,
Mini,5.716614969,219,,,
Sedan,5.716614969,246,,,
OlaAuto,5.716614969,135,,,
Mini,2.858307484,145,,,
Sedan,2.858307484,159,,,
OlaAuto,2.858307484,72,,,
Mini,4.163186988,175,,,
Sedan,4.163186988,195,,,
OlaAuto,4.163186988,100,,,
Mini,5.033106657,197,,,
Sedan,5.033106657,220,,,
OlaAuto,5.033106657,119,,,
Mini,7.456454307,262,,,
Sedan,7.456454307,296,,,
OlaAuto,7.456454307,172,,,
Mini,2.485484769,134,,,
Sedan,2.485484769,146,,,
OlaAuto,2.485484769,62,,,
Mini,4.411735465,183,,,
Sedan,4.411735465,204,,,
OlaAuto,4.411735465,107,,,
Mini,4.473872584,199,,,
Sedan,4.473872584,223,,,
OlaAuto,4.473872584,121,,,
Mini,8.077825499,281,,,
Sedan,8.077825499,319,,,
OlaAuto,8.077825499,188,,,
Mini,5.343792253,230,,,
Sedan,5.343792253,258,,,
OlaAuto,5.343792253,137,,,
Mini,5.716614969,250,,,
Sedan,5.716614969,282,,,
OlaAuto,5.716614969,161,,,
Mini,4.846695299,218,,,
Sedan,4.846695299,245,,,
OlaAuto,4.846695299,130,,,
Mini,6.835083115,263,,,
Sedan,6.835083115,297,,,
OlaAuto,6.835083115,168,,,
Mini,1.118468146,99,,,
Sedan,1.118468146,105,,,
OlaAuto,1.118468146,32,,,
Mini,0.372822715,77,,,
Sedan,0.372822715,79,,,
OlaAuto,0.372822715,20,,,
Mini,6.835083115,272,,,
Sedan,6.835083115,309,,,
OlaAuto,6.835083115,175,,,
Mini,1.677702219,114,,,
Sedan,1.677702219,122,,,
OlaAuto,1.677702219,45,,,
Mini,2.236936292,132,,,
Sedan,2.236936292,144,,,
OlaAuto,2.236936292,58,,,
Mini,2.112662054,126,,,
Sedan,2.112662054,137,,,
OlaAuto,2.112662054,55,,,
Mini,4.536009703,189,,,
Sedan,4.536009703,211,,,
OlaAuto,4.536009703,108,,,
Mini,1.304879504,99,,,
Sedan,1.304879504,105,,,
OlaAuto,1.304879504,32,,,
Mini,5.281655134,179,,,
Sedan,5.281655134,199,,,
OlaAuto,5.281655134,104,,,
Mini,2.174799173,145,,,
Sedan,2.174799173,159,,,
OlaAuto,2.174799173,70,,,
Mini,12.42742384,861,,,
Sedan,12.42742384,872,,,
OlaAuto,12.42742384,297,,,
Mini,2.299073411,128,,,
Sedan,2.299073411,140,,,
OlaAuto,2.299073411,58,,,
Mini,2.299073411,131,,,
Sedan,2.299073411,143,,,
OlaAuto,2.299073411,59,,,
Moto,0.497096954,30,,,
OlaAuto,0.497096954,50,,,
Mini,0.497096954,61,,,
Sedan,0.497096954,68,,,
Moto,5.157380896,90,,,
OlaAuto,5.157380896,120,,,
Mini,5.157380896,178,,,
Sedan,5.157380896,200,,,
Moto,5.778752088,97,,,
OlaAuto,5.778752088,128,,,
Mini,5.778752088,196,,,
Sedan,5.778752088,221,,,
Moto,1.553427981,45,,,
OlaAuto,1.553427981,65,,,
Mini,1.553427981,89,,,
Sedan,1.553427981,99,,,
Moto,2.485484769,53,,,
OlaAuto,2.485484769,70,,,
Mini,2.485484769,106,,,
Sedan,2.485484769,119,,,
Moto,8.139962618,130,,,
OlaAuto,8.139962618,170,,,
Mini,8.139962618,257,,,
Sedan,8.139962618,290,,,
Moto,3.852501392,67,,,
OlaAuto,3.852501392,90,,,
Mini,3.852501392,135,,,
Sedan,3.852501392,152,,,
Moto,1.739839338,52,,,
OlaAuto,1.739839338,62,,,
Mini,1.739839338,104,,,
Sedan,1.739839338,117,,,
Moto,5.343792253,99,,,
OlaAuto,5.343792253,110,,,
Mini,5.343792253,198,,,
Sedan,5.343792253,224,,,
Moto,4.970969538,100,,,
OlaAuto,4.970969538,115,,,
Mini,4.970969538,199,,,
Sedan,4.970969538,224,,,
Moto,7.456454307,120,,,
OlaAuto,7.456454307,138,,,
Mini,7.456454307,235,,,
Sedan,7.456454307,264,,,
Moto,8.077825499,135,,,
OlaAuto,8.077825499,150,,,
Mini,8.077825499,269,,,
Sedan,8.077825499,304,,,
Moto,9.941939076,170,,,
OlaAuto,9.941939076,200,,,
Mini,9.941939076,345,,,
Sedan,9.941939076,388,,,
Moto,12.42742384,145,,,
OlaAuto,12.42742384,200,,,
Mini,12.42742384,376,,,
Sedan,12.42742384,424,,,
Moto,1.118468146,40,,,
OlaAuto,1.118468146,50,,,
Mini,1.118468146,86,,,
Sedan,1.118468146,96,,,
Moto,1.491290861,42,,,
OlaAuto,1.491290861,54,,,
Mini,1.491290861,83,,,
Sedan,1.491290861,93,,,
Moto,4.78455818,96,,,
OlaAuto,4.78455818,115,,,
Mini,4.78455818,195,,,
Sedan,4.78455818,220,,,
Moto,2.174799173,65,,,
OlaAuto,2.174799173,76,,,
Mini,2.174799173,127,,,
Sedan,2.174799173,143,,,
Moto,4.225324107,88,,,
OlaAuto,4.225324107,101,,,
Mini,4.225324107,176,,,
Sedan,4.225324107,199,,,
Moto,5.468066492,90,,,
OlaAuto,5.468066492,105,,,
Mini,5.468066492,179,,,
Sedan,5.468066492,202,,,
Moto,2.982581723,75,,,
OlaAuto,2.982581723,87,,,
Mini,2.982581723,151,,,
Sedan,2.982581723,170,,,
