cab_type,distance,fare
UberGo,17.53,415
UberGo,17.12,401.5
UberAuto,18.31,389
UberAuto,2.76,67
UberAuto,2.97,69
UberAuto,2.82,66
UberAuto,0,36
UberAuto,12.37,272
UberGo,11.78,246
UberAuto,11.95,269
UberAuto,14.34,322
UberGo,11.57,281
UberAuto,1.73,42.62
UberAuto,3.35,94.9
UberAuto,4.05,87.66
UberAuto,3.75,94.11
UberAuto,4.1,88.26
UberAuto,12.47,281.73
UberAuto,12.61,273.87
UberAuto,2.2,54.85
UberGo,10.42,316.53
UberAuto,10.59,238.57
UberGo,16.42,510.26
UberGo,4.7,166.66
UberGo,7.24,224.26
UberAuto,4.26,105.51
UberAuto,17.94,374.88
UberAuto,17.88,294.11
UberAuto,19.06,402.88
UberGo,4.21,223.44
UberGo,7.24,198.02
UberGo,8.21,206.2
UberGo,10.99,315.62
UberGo,5.22,120.01
UberGo,5.58,128.76
UberGo,5.24,149.02
UberGo,18.77,351.87
UberGo,8.11,220.47
UberGo,6.9,184.28
UberAuto,2.43,51.05
UberGo,13.98,339.52
UberGo,15.69,394.07
UberGo,13.4,417.58
UberGo,14.78,341.34
UberGo,18.58,512.73
UberGo,18.94,461.17
UberXL,10.82,494.75
UberGo,18.82,515.27
UberGo,17.46,413.83
UberGo,14.19,529.73
UberXL,17.27,731
UberGo,4.29,49
UberGo,3.93,83.85
UberGo,6.14,192.64
UberGo,7.18,123.99
UberGo,18.2,522.51
UberGo,13.68,342.21
UberXL,12.06,720.79
UberAuto,0.9,50.06
UberAuto,3.64,111.65
UberAuto,3.81,111.65
UberAuto,2.81,79.14
UberGo,23.62,735.74
UberAuto,1.14,64.43
UberAuto,1.15,64.66
UberAuto,2.7,83.19
UberGo,31.15,641.64
UberGo,32.13,694.54
UberGo,9.98,259
UberGo,21.86,552.89
UberAuto,6.81,181.76
UberAuto,2.7,64.66
UberAuto,2.68,66.66
UberAuto,2.71,66.66
UberAuto,2.66,64.52
UberAuto,2.71,65.89
UberAuto,2.69,60.58
UberAuto,2.71,60.8
UberAuto,2.18,79.78
UberGo,6.79,184.82
UberGo,24.77,774.72
UberGo,4.28,138.43
UberAuto,7.37,159.76
UberAuto,3.63,88.92
UberAuto,7.16,166.48
UberAuto,7.26,178
UberAuto,4.28,105
UberAuto,6.2,142
UberAuto,6.23,142
UberAuto,4.53,118
UberAuto,4.32,85
UberAuto,3.71,84
UberAuto,3.73,84
UberAuto,6.69,145
UberAuto,3.4,89
UberAuto,7.29,155
UberAuto,6.71,145
UberAuto,3.23,83
UberAuto,6.23,136
UberAuto,5.12,115
UberAuto,4.54,115
UberAuto,4.5,117
UberAuto,5.08,107
UberAuto,5.14,102
UberAuto,5.14,108
UberAuto,4.53,87
UberAuto,8.15,168
UberAuto,3.48,69
UberGo,8.86,203
UberAuto,5.72,143
UberAuto,5.02,114
UberAuto,5.68,133
UberAuto,5.14,121
UberAuto,5.53,140
UberAuto,5.03,114
UberAuto,4.52,104
UberAuto,5.25,143
UberAuto,6.64,142
UberAuto,5.02,113
UberAuto,5.15,113
UberAuto,5.01,113
UberAuto,4.32,77
UberAuto,5.42,112
UberAuto,5.06,112
UberAuto,5.82,118
